Part Name,Type,State,Device,Situation,Last Version,Dependent to,Relevant to,File Name,Function,Info,file directory
Dashboard Summary,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, cache-utils.ts",N/A,route.ts,Analytics,Provides summary data for admin dashboard,e:\Cavian\Cavian V0.1.0\src\app\api\admin-dashboard\summary\
Sales Overview,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, cache-utils.ts","admin-dashboard/summary/route.ts",route.ts,Analytics,Provides sales overview data for admin dashboard,e:\Cavian\Cavian V0.1.0\src\app\api\admin-dashboard\sales\overview\
Sales Trend,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, cache-utils.ts","admin-dashboard/summary/route.ts",route.ts,Analytics,Provides sales trend data for admin dashboard,e:\Cavian\Cavian V0.1.0\src\app\api\admin-dashboard\sales\trend\

# API Routes - Media
Media Upload,API,Final,Local,Development,1.0.0,"media-utils.ts, auth.ts, busboy, sharp, zod","media/[filename]/route.ts, media/list/route.ts",route.ts,Media Management,Handles file uploads and processing,e:\Cavian\Cavian V0.1.0\src\app\api\media\upload\
Media List,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, media-utils.ts","media/upload/route.ts, media/[filename]/route.ts",route.ts,Media Management,Lists and filters media files,e:\Cavian\Cavian V0.1.0\src\app\api\media\list\
Media File,API,Final,Local,Development,1.0.0,"media-utils.ts, auth.ts","media/upload/route.ts, media/list/route.ts",route.ts,Media Management,Handles individual media file operations,e:\Cavian\Cavian V0.1.0\src\app\api\media\[filename]\

# API Routes - Products
Products,API,Final,Local,Development,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, sku-utils.ts, barcode-utils.ts, validation.ts, cache-utils.ts","products/[id]/route.ts, products/[id]/variants/route.ts",route.ts,Product Management,Handles product CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\
Product Detail,API,Final,Local,Development,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, cache-utils.ts","products/route.ts, products/[id]/variants/route.ts",route.ts,Product Management,Handles single product operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\[id]\
Product Variants,API,Final,Local,Development,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, sku-utils.ts, barcode-utils.ts, validation.ts, cache-utils.ts","products/route.ts, products/[id]/route.ts, products/[id]/variants/[variantId]/route.ts",route.ts,Product Management,Handles product variants CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\[id]\variants\
Product Variant Detail,API,Final,Local,Development,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, validation.ts, cache-utils.ts","products/[id]/variants/route.ts, products/[id]/route.ts",route.ts,Product Management,Handles single variant operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\[id]\variants\[variantId]\

# API Routes - Orders
Orders,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, error-handler.ts, validation.ts, cache-utils.ts","orders/[id]/route.ts, orders/[id]/history/route.ts",route.ts,Order Management,Handles order CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\orders\
Order Detail,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, error-handler.ts, validation.ts, cache-utils.ts","orders/route.ts, orders/[id]/history/route.ts",route.ts,Order Management,Handles single order operations,e:\Cavian\Cavian V0.1.0\src\app\api\orders\[id]\
Order History,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, error-handler.ts, validation.ts, cache-utils.ts","orders/route.ts, orders/[id]/route.ts",route.ts,Order Management,Handles order history operations,e:\Cavian\Cavian V0.1.0\src\app\api\orders\[id]\history\

# API Routes - Tickets
Tickets,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, error-handler.ts, validation.ts, cache-utils.ts","tickets/[id]/route.ts, tickets/[id]/messages/route.ts",route.ts,Ticket Management,Handles ticket CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\tickets\
Ticket Detail,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, error-handler.ts, validation.ts, cache-utils.ts","tickets/route.ts, tickets/[id]/messages/route.ts",route.ts,Ticket Management,Handles single ticket operations,e:\Cavian\Cavian V0.1.0\src\app\api\tickets\[id]\
Ticket Messages,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, error-handler.ts, validation.ts, cache-utils.ts","tickets/route.ts, tickets/[id]/route.ts",route.ts,Ticket Management,Handles ticket message operations,e:\Cavian\Cavian V0.1.0\src\app\api\tickets\[id]\messages\

# API Routes - Users
Users,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, error-handler.ts, validation.ts, cache-utils.ts","users/[id]/route.ts",route.ts,User Management,Handles user CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\users\
User Detail,API,Final,Local,Development,1.0.0,"prisma.ts, auth.ts, error-handler.ts, validation.ts, cache-utils.ts","users/route.ts",route.ts,User Management,Handles single user operations,e:\Cavian\Cavian V0.1.0\src\app\api\users\[id]\

# Frontend
Layout,Component,Final,Local,Development,1.0.0,"next/headers, next/font/google","page.tsx, globals.css",layout.tsx,Layout,Main application layout,e:\Cavian\Cavian V0.1.0\src\app\
Page,Component,Final,Local,Development,1.0.0,"next/link, next/navigation","layout.tsx, globals.css",page.tsx,Home Page,Main landing page,e:\Cavian\Cavian V0.1.0\src\app\
Global CSS,Style,Final,Local,Development,1.0.0,N/A,"layout.tsx, page.tsx",globals.css,Styles,Global CSS styles,e:\Cavian\Cavian V0.1.0\src\app\

# Assets
Font - Pinar ExtraBold,Asset,Final,All,Production,1.0.0,N/A,N/A,Pinar-DS1-FD-ExtraBold.ttf,Font,Pinar ExtraBold font file,e:\Cavian\Cavian V0.1.0\public\fonts\
Font - Pinar Medium,Asset,Final,All,Production,1.0.0,N/A,N/A,Pinar-DS1-FD-Medium.ttf,Font,Pinar Medium font file,e:\Cavian\Cavian V0.1.0\public\fonts\

# Uploaded Files
[Note: Uploaded files in public/uploads are not individually documented as they are user-generated content]
