Part Name,Type,State,Device,Situation,Last Version,Dependent to,Relevent to,File Name,Function,Info,file directory
OTP Verify API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts","otp/request/route.ts, login/route.ts",route.ts,Authentication,Verifies OTP for admin login,e:\Cavian\Cavian V0.1.0\src\app\api\admin\otp\verify\
Admin Create API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts, bcryptjs","auth.ts, error-handler.ts, success-messages.ts",route.ts,Admin Management,Handles new admin creation,e:\Cavian\Cavian V0.1.0\src\app\api\admin\create\
Admin Edit API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts, bcryptjs","auth.ts, error-handler.ts, success-messages.ts",route.ts,Admin Management,Handles admin profile updates,e:\Cavian\Cavian V0.1.0\src\app\api\admin\edit\[id]\
Admin Delete API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts","auth.ts, error-handler.ts, success-messages.ts",route.ts,Admin Management,Handles admin account deletion,e:\Cavian\Cavian V0.1.0\src\app\api\admin\delete\[id]\
Forgot Password Request API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, rate-limiter.ts, kavenegar.ts, bcryptjs","forgot-password/verify/route.ts, auth.ts, otp-utils.ts",route.ts,Password Recovery,Handles forgot password OTP requests,e:\Cavian\Cavian V0.1.0\src\app\api\admin\forgot-password\request\
Forgot Password Verify API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, auth.ts, bcryptjs","forgot-password/request/route.ts, auth.ts",route.ts,Password Recovery,Verifies forgot password OTP and updates password,e:\Cavian\Cavian V0.1.0\src\app\api\admin\forgot-password\verify\
Products API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, sku-utils.ts, barcode-utils.ts, api-utils.ts","product/[id]/route.ts, product-utils.ts",route.ts,Product Management,Handles product listing and creation,e:\Cavian\Cavian V0.1.0\src\app\api\products\
Product Detail API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, api-utils.ts","products/route.ts, variants/route.ts, variants/[variantId]/route.ts",route.ts,Product Management,Handles single product operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\[id]\
Product Variants API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, sku-utils.ts, barcode-utils.ts, api-utils.ts","[id]/route.ts, [variantId]/route.ts",route.ts,Product Management,Handles product variants listing and creation,e:\Cavian\Cavian V0.1.0\src\app\api\products\[id]\variants\
Product Variant Detail API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, sku-utils.ts, barcode-utils.ts, api-utils.ts","[id]/route.ts, variants/route.ts",route.ts,Product Management,Handles single variant operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\[id]\variants\[variantId]\
Pinar ExtraBold Font,Asset,Final,General,On local,1.0.0,globals.css,layout.tsx,Pinar-DS1-FD-ExtraBold.ttf,Font File,ExtraBold weight of Pinar font,e:\Cavian\Cavian V0.1.0\public\fonts\
Pinar Medium Font,Asset,Final,General,On local,1.0.0,globals.css,layout.tsx,Pinar-DS1-FD-Medium.ttf,Font File,Medium weight of Pinar font,e:\Cavian\Cavian V0.1.0\public\fonts\
