Part Name,Type,State,Device,Situation,Last Version,Dependent to,Relevant to,File Name,Function,Info,file directory
Admin Dashboard Summary,API,Final,General,On local,1.0.0,"prisma.ts, auth.ts, cache-utils.ts",N/A,route.ts,Analytics,Provides summary data for admin dashboard,e:\Cavian\Cavian V0.1.0\src\app\api\admin-dashboard\summary\
Admin Sales Overview,API,Final,General,On local,1.0.0,"prisma.ts, auth.ts, cache-utils.ts","admin-dashboard/summary/route.ts",route.ts,Analytics,Provides sales overview data for admin dashboard,e:\Cavian\Cavian V0.1.0\src\app\api\admin-dashboard\sales\overview\
Admin Sales Trend,API,Final,General,On local,1.0.0,"prisma.ts, auth.ts, cache-utils.ts","admin-dashboard/summary/route.ts",route.ts,Analytics,Provides sales trend data for admin dashboard,e:\Cavian\Cavian V0.1.0\src\app\api\admin-dashboard\sales\trend\
Tickets API,API,Final,General,On local,1.0.0,"prisma.ts, auth.ts, error-handler.ts","tickets/[id]/route.ts, tickets/[id]/messages/route.ts",route.ts,Support,Handles ticket CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\tickets\
Ticket Detail API,API,Final,General,On local,1.0.0,"prisma.ts, auth.ts, error-handler.ts","tickets/route.ts, tickets/[id]/messages/route.ts",route.ts,Support,Handles single ticket operations,e:\Cavian\Cavian V0.1.0\src\app\api\tickets\[id]\
Ticket Messages API,API,Final,General,On local,1.0.0,"prisma.ts, auth.ts, error-handler.ts","tickets/[id]/route.ts, tickets/route.ts",route.ts,Support,Handles ticket messages,e:\Cavian\Cavian V0.1.0\src\app\api\tickets\[id]\messages\
Orders API,API,Final,General,On local,1.0.0,"prisma.ts, auth.ts, error-handler.ts, cache-utils.ts","orders/[id]/route.ts, orders/[id]/history/route.ts",route.ts,Order Management,Handles order CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\orders\
Order Detail API,API,Final,General,On local,1.0.0,"prisma.ts, auth.ts, error-handler.ts, cache-utils.ts","orders/route.ts, orders/[id]/history/route.ts",route.ts,Order Management,Handles single order operations,e:\Cavian\Cavian V0.1.0\src\app\api\orders\[id]\
Order History API,API,Final,General,On local,1.0.0,"prisma.ts, auth.ts, error-handler.ts, cache-utils.ts","orders/[id]/route.ts, orders/route.ts",route.ts,Order Management,Handles order history tracking,e:\Cavian\Cavian V0.1.0\src\app\api\orders\[id]\history\
Pinar ExtraBold Font,Asset,Final,General,On local,1.0.0,globals.css,layout.tsx,Pinar-DS1-FD-ExtraBold.ttf,Font File,ExtraBold weight of Pinar font,e:\Cavian\Cavian V0.1.0\public\fonts\
Pinar Medium Font,Asset,Final,General,On local,1.0.0,globals.css,layout.tsx,Pinar-DS1-FD-Medium.ttf,Font File,Medium weight of Pinar font,e:\Cavian\Cavian V0.1.0\public\fonts\
Root Layout,Layout,Final,General,On local,1.0.0,Next.js,"page.tsx, globals.css",layout.tsx,Page Layout,Root layout component for the application,e:\Cavian\Cavian V0.1.0\src\app\
Home Page,Page,Final,General,On local,1.0.0,Next.js,"layout.tsx, globals.css",page.tsx,Landing Page,Main landing page of the application,e:\Cavian\Cavian V0.1.0\src\app\
Global Styles,Style,Final,General,On local,1.0.0,Tailwind CSS,"layout.tsx, page.tsx",globals.css,Global Styling,Global CSS styles and variables,e:\Cavian\Cavian V0.1.0\src\app\
File Creation Dates,Data,Final,General,On local,1.0.0,N/A,project_documentation_final.csv,file_creation_dates.csv,Metadata,Timestamps of file creations,e:\Cavian\Cavian V0.1.0\
