Part Name,Type,State,Device,Situation,Last Version,Dependent to,Relevant to,File Name,Function,Info,file directory
Forgot Password Request API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, rate-limiter.ts, kavenegar.ts, bcryptjs","forgot-password/verify/route.ts, auth.ts, otp-utils.ts",route.ts,Password Recovery,Handles forgot password OTP requests,e:\Cavian\Cavian V0.1.0\src\app\api\admin\forgot-password\request\
Forgot Password Verify API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, auth.ts, bcryptjs","forgot-password/request/route.ts, auth.ts",route.ts,Password Recovery,Verifies forgot password OTP and updates password,e:\Cavian\Cavian V0.1.0\src\app\api\admin\forgot-password\verify\
Products API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, sku-utils.ts, barcode-utils.ts, validation.ts","products/[id]/route.ts, products/[id]/variants/route.ts",route.ts,Product Management,Handles product CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\
Product Detail API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts","products/route.ts, products/[id]/variants/route.ts",route.ts,Product Management,Handles single product operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\[id]\
Product Variants API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts, sku-utils.ts, barcode-utils.ts","products/route.ts, products/[id]/route.ts, products/[id]/variants/[variantId]/route.ts",route.ts,Product Management,Handles product variants CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\[id]\variants\
Product Variant Detail API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, product-utils.ts","products/[id]/variants/route.ts, products/[id]/route.ts",route.ts,Product Management,Handles single variant operations,e:\Cavian\Cavian V0.1.0\src\app\api\products\[id]\variants\[variantId]\
Users API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, validation.ts","users/[id]/route.ts, auth.ts",route.ts,User Management,Handles user CRUD operations,e:\Cavian\Cavian V0.1.0\src\app\api\users\
User Detail API,API,Final,General,On local,1.0.0,"prisma.ts, error-handler.ts, validation.ts","users/route.ts, auth.ts",route.ts,User Management,Handles single user operations,e:\Cavian\Cavian V0.1.0\src\app\api\users\[id]\
Pinar ExtraBold Font,Asset,Final,General,On local,1.0.0,globals.css,layout.tsx,Pinar-DS1-FD-ExtraBold.ttf,Font File,ExtraBold weight of Pinar font,e:\Cavian\Cavian V0.1.0\public\fonts\
Pinar Medium Font,Asset,Final,General,On local,1.0.0,globals.css,layout.tsx,Pinar-DS1-FD-Medium.ttf,Font File,Medium weight of Pinar font,e:\Cavian\Cavian V0.1.0\public\fonts\
Root Layout,Layout,Final,General,On local,1.0.0,Next.js,"page.tsx, globals.css",layout.tsx,Page Layout,Root layout component for the application,e:\Cavian\Cavian V0.1.0\src\app\
Home Page,Page,Final,General,On local,1.0.0,Next.js,"layout.tsx, globals.css",page.tsx,Landing Page,Main landing page of the application,e:\Cavian\Cavian V0.1.0\src\app\
Global Styles,Style,Final,General,On local,1.0.0,Tailwind CSS,"layout.tsx, page.tsx",globals.css,Global Styling,Global CSS styles and variables,e:\Cavian\Cavian V0.1.0\src\app\
File Creation Dates,Data,Final,General,On local,1.0.0,N/A,project_documentation_final.csv,file_creation_dates.csv,Metadata,Timestamps of file creations,e:\Cavian\Cavian V0.1.0\
